Company;Product;TypeName;Inches;Cpu;Ram;Memory;Gpu;Price
Dell;XPS 15;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;215730,00
Lenovo;Legion Y520-15IKBN;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;70110,00
Acer;Swift 7;Ultrabook;13.3;Intel Core i5 7Y54 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;89010,00
Dell;Inspiron 5770;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;97650,00
Lenovo;Thinkpad Yoga;2 in 1 Convertible;14;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;254160,00
Vero;K147 (N3350/4GB/32GB/FHD/W10);Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;23400,00
Xiaomi;Mi Notebook;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce MX150;89991,00
Lenovo;IdeaPad 320-17IKBR;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;62820,00
Dell;Inspiron 5379;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;75510,00
HP;ProBook 470;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;82260,00
Razer;Blade Pro;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;32GB;1TB SSD;Nvidia GeForce GTX 1080;548910,00
HP;ProBook 430;Notebook;13.3;Intel Core i5 8250U 1.6GHz;8GB;512GB SSD;Intel UHD Graphics 620;86310,00
HP;Omen 17-W295;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;124110,00
